Handle,Title,Option1 Name,Option1 Value,Body (HTML)
its-a-wonderful-life-dvd-rental-holiday,It's a Wonderful Life,Genre,Holiday,"<p>George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.</p>"
21-grams-dvd-rental-drama,21 Grams,Genre,Drama,"<p>Paul Rivers, an ailing mathematician lovelessly married to an English émigré; Christina Peck, an upper-middle-class suburban housewife and mother of two girls; and Jack Jordan, a born-again ex-con, are brought together by a terrible accident that changes their lives.</p>"
road-trip-dvd-rental-comedy,Road Trip,Genre,Comedy,"<p>After a student at the University of Ithaca films his one-night stand with a beautiful sorority girl, he discovers one of his friends has accidentally mailed the homemade sex tape to his girlfriend in Austin. In a frenzy, he must borrow a car and hit the road in a desperate bid to intercept the tape.</p>"
the-driver-dvd-rental-comedy,The Driver,Genre,Comedy,"<p>Young San Francisco ride share driver Guillaume tells all of his passengers that he is homesick for France, but realized he was afraid of flying and feels he cannot return. One passenger, a beautiful woman named Amy, feels bad for Guillaume and offers to become his friend. Soon the two are having an affair and Guillaume, Amy and her boyfriend Mike become entangled in a quarter life crisis. As the three try to figure out what it is they want in life, they are interrupted by a series of strange occurrences that make coming to a decision even harder.</p>"
future-shock-dvd-rental-sci-fi,Future Shock,Genre,Sci-Fi,"<p>A psychiatrist uses virtual reality to probe the minds of three unsuspecting patients, unleashing horrific psychic forces in the process.</p>"
buffalo-boys-dvd-rental-action,Buffalo Boys,Genre,Action,"<p>Betrayed by the Dutch colonial forces, Arana manages to escape along with his nephews Jamar and Suwo, the newborn sons of Hamza, one of the last Indonesian sultans fighting against foreign tyranny. In 1860, after wandering for years on the plains of the American Wild West, Arana and the two brothers return to Indonesia to avenge their dead loved ones and punish the evil man who caused their misfortune.</p>"
taken-dvd-rental-action,Taken,Genre,Action,"<p>Bryan Mills, a former government operative, is trying to reconnect with his teenage daughter Kim. After reluctantly agreeing with his ex-wife to let Kim go to Paris on vacation with a friend, his worst nightmare comes true. While on the phone with his daughter shortly after she arrives in Paris, she and her friend are abducted by a gang of human traffickers. Working against the clock, Bryan relies on his extensive training and skills to track down the ruthless gang that abducted her and launch a one-man war to rescue his daughter.</p>"
the-icebreaker-dvd-rental-thriller,The Icebreaker,Genre,Thriller,<p>The story is based on the real events of 1985. The team of a Russian polar icebreaker “Mikhail Gromov” discovered a giant iceberg. The ship came into collision while attempting to take cover from the weather and is forced to drift with ice along the Amundsen Sea coast. The crew of “Gromov” spent 133 days of polar night trying to find a way out of their icy trap. They have no room for mistakes; one wrong move and the vessel is crushed by ice.</p>
frida-dvd-rental-drama,Frida,Genre,Drama,"<p>A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work.</p>"
seabiscuit-dvd-rental-drama,Seabiscuit,Genre,Drama,<p>True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.</p>
knock-off-dvd-rental-action,Knock Off,Genre,Action,<p>A fashion designer and his CIA agent business partner must join forces to stop a group of terrorists from smuggling explosives in counterfeit jeans during the handover of Hong Kong.</p>
atl-dvd-rental-drama,ATL,Genre,Drama,"<p>As four friends prepare for life after high school, different challenges bring about turning points in each of their lives. The dramas unfold and resolve at their local rollerskating rink, Cascade.</p>"
the-italian-job-dvd-rental-action,The Italian Job,Genre,Action,"<p>Charlie Croker pulled off the crime of a lifetime. The one thing that he didn't plan on was being double-crossed. Along with a drop-dead gorgeous safecracker, Croker and his team take off to re-steal the loot and end up in a pulse-pounding, pedal-to-the-metal chase that careens up, down, above and below the streets of Los Angeles.</p>"
horizon-line-dvd-rental-thriller,Horizon Line,Genre,Thriller,<p>A couple flying on a small plane to attend a tropical island wedding must fight for their lives after their pilot suffers a heart attack.</p>
green-zone-dvd-rental-action,Green Zone,Genre,Action,"<p>During the U.S.-led occupation of Baghdad in 2003, Chief Warrant Officer Roy Miller and his team of Army inspectors are dispatched to find weapons of mass destruction believed to be stockpiled in the Iraqi desert. Rocketing from one booby-trapped and treacherous site to the next, the men search for deadly chemical agents but stumble instead upon an elaborate cover-up that threatens to invert the purpose of their mission.</p>"
the-terminal-dvd-rental-comedy,The Terminal,Genre,Comedy,"<p>An Eastern European tourist unexpectedly finds himself stranded in JFK airport, and must take up temporary residence there.</p>"
follow-the-river-dvd-rental-drama,Follow the River,Genre,Drama,"<p>Mary Ingles is pregnant when she and her two sons are captured from their homestead in Virginia's Blue Ridge Mountains by Shawnee Indians. Her husband, Will, narrowly escapes death during the attack. Impressed by her grace under the pressure of captivity, Wildcat, the Shawnee chief, confers special privileges on Mary and her children, eventually proposing that Mary become his mate. Surprised by her attraction to the handsome brave, Mary nonetheless opts to remain faithful to Will and engineers a plan for her escape. Separated from her children, Mary joins another female settler, and together they embark on a harrowing homeward trek. Her odyssey comes full circle more than a decade later when she is finally reunited with her long-lost children.</p>"
what-just-happened-dvd-rental-comedy,What Just Happened?,Genre,Comedy,"<p>During the course of an ordinary week in Hollywood, movie producer Ben must navigate his way through shark-infested waters as he struggles to complete his latest projects. A demanding studio boss demands extensive changes to a movie starring Sean Penn, while another chief won't greenlight a project unless star Bruce Willis shaves his beard. Meanwhile, Ben tries to reconcile with his wife and maintain a relationship with his young daughter.</p>"
american-beauty-dvd-rental-drama,American Beauty,Genre,Drama,"<p>Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.</p>"
catch-a-fire-dvd-rental-thriller,Catch a Fire,Genre,Thriller,"<p>The true story of anti-apartheid activists in South Africa, and particularly the life of Patrick Chamusso, a timid foreman at Secunda CTL, the largest synthetic fuel plant in the world. Patrick is wrongly accused, imprisoned and tortured for an attempt to bomb the plant, with the injustice transforming the apolitical worker into a radicalised insurgent, who then carries out his own successful sabotage mission.</p>"
nine-months-dvd-rental-romantic-comedy,Nine Months,Genre,Romantic Comedy,"<p>When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse.</p>"
i-spy-dvd-rental-comedy,I-Spy,Genre,Comedy,"<p>When the Switchblade, the most sophisticated prototype stealth fighter created yet, is stolen from the U.S. government, one of the United States' top spies, Alex Scott, is called to action. What he doesn't expect is to get teamed up with a cocky civilian, World Class Boxing Champion Kelly Robinson, on a dangerous top secret espionage mission. Their assignment: using equal parts skill and humor, catch Arnold Gundars, one of the world's most successful arms dealers.</p>"
home-at-last-dvd-rental-drama,Home at Last,Genre,Drama,"<p>Billy, a streetwise kid from New York City, is sent to Nebraska and is taken in by a Swedish farm family, the Andersons. Initially fearful and resentful, Billy doesn’t fit in, and he clashes with his new family and adoptive father (Frank Converse). Not until a terrible crisis occurs does Billy realize that, for the first time in his life, he truly belongs and is Home At Last.</p>"
first-do-no-harm-dvd-rental-drama,"""...First Do No Harm""",Genre,Drama,"<p>When Lori Reimuller learns that her young son Robbie has epilepsy, she first trusts the judgment of the hospital staff in how best to bring it under control. As Robbie's health slides radically downhill, however, she becomes frustrated and desperate, and so does her own research into the existing literature on treatments. When she decides to try an alternative treatment called the Ketogenic Diet, devised long ago by a doctor from Johns Hopkins, she is met with narrow-minded resistance from Robbie's doctor, who is prepared to take legal action to prevent Lori from removing him from the hospital.</p>"
